序号,地点,"dest(经度,纬度)"
0,盒马北仑店/配送中心,"121.831203,29.896056"
1,金地悦虹华庭,"121.851107,29.886743"
2,北仑银泰城,"121.830875,29.895125"
3,茉莉花园,"121.832575,29.895275"
4,银河国际,"121.830526,29.894307"
5,黄山豪庭·御府,"121.833140,29.897925"
6,凯旋华庭,"121.834095,29.894543"
7,新隆蓝天公寓,"121.851946,29.913686"
8,环球东方港城北区,"121.830864,29.891991"
9,凤阳新村,"121.822846,29.913909"
10,紫金名座,"121.829538,29.897212"
11,国际金融中心,"121.828247,29.893036"
12,北仑金融大厦,"121.828632,29.892724"
13,星盒创新大厦,"121.828224,29.892512"
14,摩根国际,"121.833092,29.891285"
15,东方石浦大厦,"121.835277,29.890639"
16,皇府大厦,"121.828773,29.903201"
17,宁波职业技术大学东校区电信学院,"121.823093,29.891797"
18,太平洋国际大厦,"121.850646,29.909881"
19,全季酒店(宁波北仑银泰城店),"121.828146,29.903629"
20,北仑区人民医院,"121.842674,29.887732"
21,门户商业大楼,"121.810955,29.898665"
22,新灵峰公寓,"121.794395,29.891103"
